DiagramID,DiagramType,DiagramName,Description,Purpose,OwnerTool,Status,Inputs(files),Outputs(export filename),RequiredBy(ReqIDs),Notes,,
D-001,Conceptual Model,conceptual,نموذج مفاهيمي للكيانات والحدود على مستوى عالي.,تقديم تصور عام للكيانات الأساسية وحدود النطاق.,Miro,EXISTS,03_DATA_MODEL/Data_Dictionary.csv;02_RTM/RTM.csv,02_ASSETS/Diagrams/conceptual.pdf,FR-001;FR-002;FR-003;FR-004;FR-005;FR-006,محتوى الملف غير مدقق نصياً.,,
D-002,Domain Model,domain,نموذج علاقات الأعمال بين الكيانات (Business Objects).,توضيح علاقات الأعمال الأساسية بين الكيانات.,Miro,EXISTS,03_DATA_MODEL/Data_Dictionary.csv;02_RTM/RTM.csv,02_ASSETS/Diagrams/domain.pdf,FR-001;FR-002;FR-003;FR-004;FR-005;FR-006;FR-007;FR-008,محتوى الملف غير مدقق نصياً.,,
D-003,Logical ERD,logical,مخطط منطقي للجداول والحقول الرئيسية.,توثيق العلاقات المنطقية للبيانات.,SQL Modeler,EXISTS,03_DATA_MODEL/Data_Dictionary.csv,02_ASSETS/Diagrams/logical.pdf,FR-001;FR-002;FR-003;FR-004;FR-005;FR-006;FR-007;FR-008,محتوى الملف غير مدقق نصياً.,,
D-004,Physical ERD,physical,مخطط فيزيائي للجداول والقيود والفهارس.,توثيق البنية الفيزيائية للبيانات.,SQL Modeler,EXISTS,03_DATA_MODEL/Data_Dictionary.csv,02_ASSETS/Diagrams/physycal.pdf,FR-001;FR-002;FR-003;FR-004;FR-005;FR-006;FR-007;FR-008,محتوى الملف غير مدقق نصياً.,,
D-005,Process Model,processmodel,نموذج عمليات شامل لتدفق العمل الأساسي.,توحيد فهم عمليات المصنع الأساسية.,Miro,EXISTS,02_RTM/RTM.csv;04_UI_PAGES/Pages_Index.csv,02_ASSETS/Diagrams/processmodel.pdf,FR-013;FR-020;FR-039;FR-048;FR-059;UC-001;UC-003;UC-004;UC-005,محتوى الملف غير مدقق نصياً.,,
D-006,Use Case Diagram,useCase,مخطط حالات الاستخدام الرئيسية.,عرض تفاعلات المستخدمين مع النظام.,Miro,EXISTS,02_RTM/RTM.csv,02_ASSETS/Diagrams/useCase.pdf,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-009;UC-010,محتوى الملف غير مدقق نصياً.,,
D-007,App Architecture,appArt,معمارية التطبيق والمكونات والتكاملات.,توضيح مكونات النظام وتدفقات الاتصال.,Miro,EXISTS,05_API/API_Inventory.csv;05_API/Integration_Priority.csv,02_ASSETS/Diagrams/appArt.pdf,FR-076;FR-082;API-001;API-002;API-003;API-004,محتوى الملف غير مدقق نصياً.,,
D-008,Integration/API Architecture,integration&API,معمارية التكامل والـ API واتجاهات الاتصال والمصادقة.,توضيح تكاملات الأنظمة والضوابط.,Miro,EXISTS,05_API/API_Inventory.csv;05_API/Integration_Priority.csv,02_ASSETS/Diagrams/integration&API.pdf,FR-076;FR-082;SEC-008;SEC-009;SEC-010,محتوى الملف غير مدقق نصياً.,,
D-009,Security Architecture,security,هيكل الأمان (RBAC + RLS + Audit).,توضيح الضوابط والصلاحيات.,Miro,EXISTS,06_SECURITY/RBAC_Matrix.csv;02_RTM/RTM.csv,02_ASSETS/Diagrams/security.pdf,SEC-001;SEC-002;SEC-005;SEC-006;SEC-007,محتوى الملف غير مدقق نصياً.,,
D-010,Structure & Navigation,structre_navigation,خريطة هيكلية الصفحات والتنقل.,توضيح بنية الصفحات ومسارات المستخدم.,Miro,EXISTS,04_UI_PAGES/Pages_Index.csv,02_ASSETS/Diagrams/structre & navigation.pdf,P-010;P-020;P-030;P-040;P-045;P-050;P-060;P-070;P-075;P-080;P-090;P-095;P-100;P-110,محتوى الملف غير مدقق نصياً.,,
D-011,Roadmap,roadmap,خارطة الطريق الزمنية للإصدارات (MVP/V1.1/V1.2).,توثيق مراحل التطوير.,Miro,EXISTS,99_INTAKE/SRS_TEXT.md,02_ASSETS/Diagrams/roadmap.pdf,FR-091;FR-092;FR-093;FR-094;FR-095;FR-096;FR-097;FR-098,محتوى الملف غير مدقق نصياً.,,
D-012,UNKNOWN,untitled_2,مخطط غير معنون؛ لم يتم تحديد نوعه من المحتوى بعد.,يتطلب مراجعة لتحديد الاستخدام الصحيح.,Miro,EXISTS,02_ASSETS/Diagrams/Untitled (2).pdf,02_ASSETS/Diagrams/Untitled (2).pdf,N/A,OPEN INPUT: يلزم تصنيف محتوى المخطط.,,
